pi,s,R,A,D,C,B,Phat,WI
0.600,0.250,0.034,0.100,0.000,0.000,-0.100,0.51001,0.00335
0.600,0.250,0.034,0.100,0.000,0.000,-0.095,0.51787,0.00583
0.600,0.250,0.034,0.100,0.000,0.000,-0.090,0.52619,0.00831
0.600,0.250,0.034,0.100,0.000,0.000,-0.085,0.53506,0.01079
0.600,0.250,0.034,0.100,0.000,0.000,-0.079,0.54459,0.01326
0.600,0.250,0.034,0.100,0.000,0.000,-0.074,0.55495,0.01574
0.600,0.250,0.034,0.100,0.000,0.000,-0.069,0.56640,0.01822
0.600,0.250,0.034,0.100,0.000,0.000,-0.064,0.57939,0.02070
0.600,0.250,0.034,0.100,0.000,0.000,-0.059,1.00000,0.02318
0.600,0.250,0.034,0.100,0.000,0.000,-0.054,0.61536,0.02565
0.600,0.250,0.034,0.100,0.000,0.000,-0.049,0.72015,0.02813
0.600,0.250,0.034,0.100,0.000,0.000,-0.044,1.00000,0.03061
0.600,0.250,0.034,0.100,0.000,0.000,-0.038,1.00000,0.03309
0.600,0.250,0.034,0.100,0.000,0.000,-0.033,1.00000,0.03557
0.600,0.250,0.034,0.100,0.000,0.000,-0.028,1.00000,0.03805
0.600,0.250,0.034,0.100,0.000,0.000,-0.023,1.00000,0.04052
0.600,0.250,0.034,0.100,0.000,0.000,-0.018,1.00000,0.04300
0.600,0.250,0.034,0.100,0.000,0.000,-0.013,1.00000,0.04548
0.600,0.250,0.034,0.100,0.000,0.000,-0.008,1.00000,0.04796
0.600,0.250,0.034,0.100,0.000,0.000,-0.003,1.00000,0.05044
0.600,0.250,0.034,0.100,0.000,0.000,0.003,1.00000,0.05291
0.600,0.250,0.034,0.100,0.000,0.000,0.008,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.000,0.013,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.000,0.018,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.000,0.023,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.000,0.028,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.000,0.033,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.000,0.038,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.000,0.044,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.000,0.049,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.000,0.054,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.000,0.059,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.000,0.064,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.000,0.069,1.00000,0.08513
0.600,0.250,0.034,0.100,0.000,0.000,0.074,1.00000,0.08761
0.600,0.250,0.034,0.100,0.000,0.000,0.079,1.00000,0.09009
0.600,0.250,0.034,0.100,0.000,0.000,0.085,1.00000,0.09257
0.600,0.250,0.034,0.100,0.000,0.000,0.090,1.00000,0.09504
0.600,0.250,0.034,0.100,0.000,0.000,0.095,1.00000,0.09752
0.600,0.250,0.034,0.100,0.000,0.000,0.100,1.00000,0.10000
0.600,0.250,0.034,0.100,0.000,0.005,-0.100,0.50246,0.00087
0.600,0.250,0.034,0.100,0.000,0.005,-0.095,0.50966,0.00335
0.600,0.250,0.034,0.100,0.000,0.005,-0.090,0.51721,0.00583
0.600,0.250,0.034,0.100,0.000,0.005,-0.085,0.52516,0.00831
0.600,0.250,0.034,0.100,0.000,0.005,-0.079,0.53356,0.01079
0.600,0.250,0.034,0.100,0.000,0.005,-0.074,0.54251,0.01326
0.600,0.250,0.034,0.100,0.000,0.005,-0.069,0.55212,0.01574
0.600,0.250,0.034,0.100,0.000,0.005,-0.064,0.56255,0.01822
0.600,0.250,0.034,0.100,0.000,0.005,-0.059,0.57406,0.02070
0.600,0.250,0.034,0.100,0.000,0.005,-0.054,0.58709,0.02318
0.600,0.250,0.034,0.100,0.000,0.005,-0.049,0.60254,0.02565
0.600,0.250,0.034,0.100,0.000,0.005,-0.044,0.62292,0.02813
0.600,0.250,0.034,0.100,0.000,0.005,-0.038,0.68558,0.03061
0.600,0.250,0.034,0.100,0.000,0.005,-0.033,1.00000,0.03309
0.600,0.250,0.034,0.100,0.000,0.005,-0.028,1.00000,0.03557
0.600,0.250,0.034,0.100,0.000,0.005,-0.023,1.00000,0.03805
0.600,0.250,0.034,0.100,0.000,0.005,-0.018,1.00000,0.04052
0.600,0.250,0.034,0.100,0.000,0.005,-0.013,1.00000,0.04300
0.600,0.250,0.034,0.100,0.000,0.005,-0.008,1.00000,0.04548
0.600,0.250,0.034,0.100,0.000,0.005,-0.003,1.00000,0.04796
0.600,0.250,0.034,0.100,0.000,0.005,0.003,1.00000,0.05044
0.600,0.250,0.034,0.100,0.000,0.005,0.008,1.00000,0.05291
0.600,0.250,0.034,0.100,0.000,0.005,0.013,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.005,0.018,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.005,0.023,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.005,0.028,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.005,0.033,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.005,0.038,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.005,0.044,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.005,0.049,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.005,0.054,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.005,0.059,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.005,0.064,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.005,0.069,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.005,0.074,1.00000,0.08513
0.600,0.250,0.034,0.100,0.000,0.005,0.079,1.00000,0.08761
0.600,0.250,0.034,0.100,0.000,0.005,0.085,1.00000,0.09009
0.600,0.250,0.034,0.100,0.000,0.005,0.090,1.00000,0.09257
0.600,0.250,0.034,0.100,0.000,0.005,0.095,1.00000,0.09504
0.600,0.250,0.034,0.100,0.000,0.005,0.100,1.00000,0.09752
0.600,0.250,0.034,0.100,0.000,0.010,-0.100,0.49570,-0.00161
0.600,0.250,0.034,0.100,0.000,0.010,-0.095,0.50238,0.00087
0.600,0.250,0.034,0.100,0.000,0.010,-0.090,0.50934,0.00335
0.600,0.250,0.034,0.100,0.000,0.010,-0.085,0.51660,0.00583
0.600,0.250,0.034,0.100,0.000,0.010,-0.079,0.52421,0.00831
0.600,0.250,0.034,0.100,0.000,0.010,-0.074,0.53221,0.01079
0.600,0.250,0.034,0.100,0.000,0.010,-0.069,0.54066,0.01326
0.600,0.250,0.034,0.100,0.000,0.010,-0.064,0.54964,0.01574
0.600,0.250,0.034,0.100,0.000,0.010,-0.059,0.55926,0.01822
0.600,0.250,0.034,0.100,0.000,0.010,-0.054,0.56969,0.02070
0.600,0.250,0.034,0.100,0.000,0.010,-0.049,0.58116,0.02318
0.600,0.250,0.034,0.100,0.000,0.010,-0.044,0.59409,0.02565
0.600,0.250,0.034,0.100,0.000,0.010,-0.038,0.60929,0.02813
0.600,0.250,0.034,0.100,0.000,0.010,-0.033,0.62893,0.03061
0.600,0.250,0.034,0.100,0.000,0.010,-0.028,0.67102,0.03309
0.600,0.250,0.034,0.100,0.000,0.010,-0.023,1.00000,0.03557
0.600,0.250,0.034,0.100,0.000,0.010,-0.018,1.00000,0.03805
0.600,0.250,0.034,0.100,0.000,0.010,-0.013,1.00000,0.04052
0.600,0.250,0.034,0.100,0.000,0.010,-0.008,1.00000,0.04300
0.600,0.250,0.034,0.100,0.000,0.010,-0.003,1.00000,0.04548
0.600,0.250,0.034,0.100,0.000,0.010,0.003,1.00000,0.04796
0.600,0.250,0.034,0.100,0.000,0.010,0.008,1.00000,0.05044
0.600,0.250,0.034,0.100,0.000,0.010,0.013,1.00000,0.05291
0.600,0.250,0.034,0.100,0.000,0.010,0.018,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.010,0.023,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.010,0.028,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.010,0.033,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.010,0.038,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.010,0.044,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.010,0.049,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.010,0.054,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.010,0.059,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.010,0.064,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.010,0.069,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.010,0.074,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.010,0.079,1.00000,0.08513
0.600,0.250,0.034,0.100,0.000,0.010,0.085,1.00000,0.08761
0.600,0.250,0.034,0.100,0.000,0.010,0.090,1.00000,0.09009
0.600,0.250,0.034,0.100,0.000,0.010,0.095,1.00000,0.09257
0.600,0.250,0.034,0.100,0.000,0.010,0.100,1.00000,0.09504
0.600,0.250,0.034,0.100,0.000,0.015,-0.100,0.48956,-0.00408
0.600,0.250,0.034,0.100,0.000,0.015,-0.095,0.49582,-0.00161
0.600,0.250,0.034,0.100,0.000,0.015,-0.090,0.50231,0.00087
0.600,0.250,0.034,0.100,0.000,0.015,-0.085,0.50904,0.00335
0.600,0.250,0.034,0.100,0.000,0.015,-0.079,0.51604,0.00583
0.600,0.250,0.034,0.100,0.000,0.015,-0.074,0.52334,0.00831
0.600,0.250,0.034,0.100,0.000,0.015,-0.069,0.53098,0.01079
0.600,0.250,0.034,0.100,0.000,0.015,-0.064,0.53899,0.01326
0.600,0.250,0.034,0.100,0.000,0.015,-0.059,0.54745,0.01574
0.600,0.250,0.034,0.100,0.000,0.015,-0.054,0.55641,0.01822
0.600,0.250,0.034,0.100,0.000,0.015,-0.049,0.56600,0.02070
0.600,0.250,0.034,0.100,0.000,0.015,-0.044,0.57634,0.02318
0.600,0.250,0.034,0.100,0.000,0.015,-0.038,0.58767,0.02565
0.600,0.250,0.034,0.100,0.000,0.015,-0.033,0.60035,0.02813
0.600,0.250,0.034,0.100,0.000,0.015,-0.028,0.61508,0.03061
0.600,0.250,0.034,0.100,0.000,0.015,-0.023,0.63357,0.03309
0.600,0.250,0.034,0.100,0.000,0.015,-0.018,0.66461,0.03557
0.600,0.250,0.034,0.100,0.000,0.015,-0.013,1.00000,0.03805
0.600,0.250,0.034,0.100,0.000,0.015,-0.008,1.00000,0.04052
0.600,0.250,0.034,0.100,0.000,0.015,-0.003,1.00000,0.04300
0.600,0.250,0.034,0.100,0.000,0.015,0.003,1.00000,0.04548
0.600,0.250,0.034,0.100,0.000,0.015,0.008,1.00000,0.04796
0.600,0.250,0.034,0.100,0.000,0.015,0.013,1.00000,0.05044
0.600,0.250,0.034,0.100,0.000,0.015,0.018,1.00000,0.05291
0.600,0.250,0.034,0.100,0.000,0.015,0.023,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.015,0.028,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.015,0.033,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.015,0.038,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.015,0.044,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.015,0.049,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.015,0.054,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.015,0.059,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.015,0.064,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.015,0.069,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.015,0.074,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.015,0.079,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.015,0.085,1.00000,0.08513
0.600,0.250,0.034,0.100,0.000,0.015,0.090,1.00000,0.08761
0.600,0.250,0.034,0.100,0.000,0.015,0.095,1.00000,0.09009
0.600,0.250,0.034,0.100,0.000,0.015,0.100,1.00000,0.09257
0.600,0.250,0.034,0.100,0.000,0.021,-0.100,0.48394,-0.00656
0.600,0.250,0.034,0.100,0.000,0.021,-0.095,0.48984,-0.00408
0.600,0.250,0.034,0.100,0.000,0.021,-0.090,0.49594,-0.00161
0.600,0.250,0.034,0.100,0.000,0.021,-0.085,0.50224,0.00087
0.600,0.250,0.034,0.100,0.000,0.021,-0.079,0.50876,0.00335
0.600,0.250,0.034,0.100,0.000,0.021,-0.074,0.51552,0.00583
0.600,0.250,0.034,0.100,0.000,0.021,-0.069,0.52254,0.00831
0.600,0.250,0.034,0.100,0.000,0.021,-0.064,0.52985,0.01079
0.600,0.250,0.034,0.100,0.000,0.021,-0.059,0.53748,0.01326
0.600,0.250,0.034,0.100,0.000,0.021,-0.054,0.54548,0.01574
0.600,0.250,0.034,0.100,0.000,0.021,-0.049,0.55390,0.01822
0.600,0.250,0.034,0.100,0.000,0.021,-0.044,0.56280,0.02070
0.600,0.250,0.034,0.100,0.000,0.021,-0.038,0.57228,0.02318
0.600,0.250,0.034,0.100,0.000,0.021,-0.033,0.58248,0.02565
0.600,0.250,0.034,0.100,0.000,0.021,-0.028,0.59358,0.02813
0.600,0.250,0.034,0.100,0.000,0.021,-0.023,0.60589,0.03061
0.600,0.250,0.034,0.100,0.000,0.021,-0.018,0.61998,0.03309
0.600,0.250,0.034,0.100,0.000,0.021,-0.013,0.63709,0.03557
0.600,0.250,0.034,0.100,0.000,0.021,-0.008,0.66173,0.03805
0.600,0.250,0.034,0.100,0.000,0.021,-0.003,0.99975,0.04052
0.600,0.250,0.034,0.100,0.000,0.021,0.003,1.00000,0.04300
0.600,0.250,0.034,0.100,0.000,0.021,0.008,1.00000,0.04548
0.600,0.250,0.034,0.100,0.000,0.021,0.013,1.00000,0.04796
0.600,0.250,0.034,0.100,0.000,0.021,0.018,1.00000,0.05044
0.600,0.250,0.034,0.100,0.000,0.021,0.023,1.00000,0.05291
0.600,0.250,0.034,0.100,0.000,0.021,0.028,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.021,0.033,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.021,0.038,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.021,0.044,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.021,0.049,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.021,0.054,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.021,0.059,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.021,0.064,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.021,0.069,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.021,0.074,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.021,0.079,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.021,0.085,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.021,0.090,1.00000,0.08513
0.600,0.250,0.034,0.100,0.000,0.021,0.095,1.00000,0.08761
0.600,0.250,0.034,0.100,0.000,0.021,0.100,1.00000,0.09009
0.600,0.250,0.034,0.100,0.000,0.026,-0.100,0.47873,-0.00904
0.600,0.250,0.034,0.100,0.000,0.026,-0.095,0.48434,-0.00656
0.600,0.250,0.034,0.100,0.000,0.026,-0.090,0.49011,-0.00408
0.600,0.250,0.034,0.100,0.000,0.026,-0.085,0.49605,-0.00161
0.600,0.250,0.034,0.100,0.000,0.026,-0.079,0.50218,0.00087
0.600,0.250,0.034,0.100,0.000,0.026,-0.074,0.50850,0.00335
0.600,0.250,0.034,0.100,0.000,0.026,-0.069,0.51503,0.00583
0.600,0.250,0.034,0.100,0.000,0.026,-0.064,0.52179,0.00831
0.600,0.250,0.034,0.100,0.000,0.026,-0.059,0.52881,0.01079
0.600,0.250,0.034,0.100,0.000,0.026,-0.054,0.53610,0.01326
0.600,0.250,0.034,0.100,0.000,0.026,-0.049,0.54370,0.01574
0.600,0.250,0.034,0.100,0.000,0.026,-0.044,0.55165,0.01822
0.600,0.250,0.034,0.100,0.000,0.026,-0.038,0.55999,0.02070
0.600,0.250,0.034,0.100,0.000,0.026,-0.033,0.56879,0.02318
0.600,0.250,0.034,0.100,0.000,0.026,-0.028,0.57812,0.02565
0.600,0.250,0.034,0.100,0.000,0.026,-0.023,0.58810,0.02813
0.600,0.250,0.034,0.100,0.000,0.026,-0.018,0.59889,0.03061
0.600,0.250,0.034,0.100,0.000,0.026,-0.013,0.61074,0.03309
0.600,0.250,0.034,0.100,0.000,0.026,-0.008,0.62408,0.03557
0.600,0.250,0.034,0.100,0.000,0.026,-0.003,0.63977,0.03805
0.600,0.250,0.034,0.100,0.000,0.026,0.003,0.66020,0.04052
0.600,0.250,0.034,0.100,0.000,0.026,0.008,0.70742,0.04300
0.600,0.250,0.034,0.100,0.000,0.026,0.013,1.00000,0.04548
0.600,0.250,0.034,0.100,0.000,0.026,0.018,1.00000,0.04796
0.600,0.250,0.034,0.100,0.000,0.026,0.023,1.00000,0.05044
0.600,0.250,0.034,0.100,0.000,0.026,0.028,1.00000,0.05291
0.600,0.250,0.034,0.100,0.000,0.026,0.033,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.026,0.038,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.026,0.044,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.026,0.049,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.026,0.054,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.026,0.059,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.026,0.064,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.026,0.069,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.026,0.074,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.026,0.079,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.026,0.085,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.026,0.090,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.026,0.095,1.00000,0.08513
0.600,0.250,0.034,0.100,0.000,0.026,0.100,1.00000,0.08761
0.600,0.250,0.034,0.100,0.000,0.031,-0.100,0.47389,-0.01152
0.600,0.250,0.034,0.100,0.000,0.031,-0.095,0.47924,-0.00904
0.600,0.250,0.034,0.100,0.000,0.031,-0.090,0.48473,-0.00656
0.600,0.250,0.034,0.100,0.000,0.031,-0.085,0.49037,-0.00408
0.600,0.250,0.034,0.100,0.000,0.031,-0.079,0.49616,-0.00161
0.600,0.250,0.034,0.100,0.000,0.031,-0.074,0.50212,0.00087
0.600,0.250,0.034,0.100,0.000,0.031,-0.069,0.50825,0.00335
0.600,0.250,0.034,0.100,0.000,0.031,-0.064,0.51457,0.00583
0.600,0.250,0.034,0.100,0.000,0.031,-0.059,0.52110,0.00831
0.600,0.250,0.034,0.100,0.000,0.031,-0.054,0.52785,0.01079
0.600,0.250,0.034,0.100,0.000,0.031,-0.049,0.53484,0.01326
0.600,0.250,0.034,0.100,0.000,0.031,-0.044,0.54209,0.01574
0.600,0.250,0.034,0.100,0.000,0.031,-0.038,0.54962,0.01822
0.600,0.250,0.034,0.100,0.000,0.031,-0.033,0.55749,0.02070
0.600,0.250,0.034,0.100,0.000,0.031,-0.028,0.56571,0.02318
0.600,0.250,0.034,0.100,0.000,0.031,-0.023,0.57436,0.02565
0.600,0.250,0.034,0.100,0.000,0.031,-0.018,0.58349,0.02813
0.600,0.250,0.034,0.100,0.000,0.031,-0.013,0.59321,0.03061
0.600,0.250,0.034,0.100,0.000,0.031,-0.008,0.60363,0.03309
0.600,0.250,0.034,0.100,0.000,0.031,-0.003,0.61496,0.03557
0.600,0.250,0.034,0.100,0.000,0.031,0.003,0.62750,0.03805
0.600,0.250,0.034,0.100,0.000,0.031,0.008,0.64184,0.04052
0.600,0.250,0.034,0.100,0.000,0.031,0.013,0.65927,0.04300
0.600,0.250,0.034,0.100,0.000,0.031,0.018,0.68459,0.04548
0.600,0.250,0.034,0.100,0.000,0.031,0.023,0.99722,0.04796
0.600,0.250,0.034,0.100,0.000,0.031,0.028,1.00000,0.05044
0.600,0.250,0.034,0.100,0.000,0.031,0.033,1.00000,0.05291
0.600,0.250,0.034,0.100,0.000,0.031,0.038,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.031,0.044,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.031,0.049,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.031,0.054,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.031,0.059,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.031,0.064,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.031,0.069,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.031,0.074,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.031,0.079,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.031,0.085,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.031,0.090,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.031,0.095,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.031,0.100,1.00000,0.08513
0.600,0.250,0.034,0.100,0.000,0.036,-0.100,0.46937,-0.01400
0.600,0.250,0.034,0.100,0.000,0.036,-0.095,0.47449,-0.01152
0.600,0.250,0.034,0.100,0.000,0.036,-0.090,0.47973,-0.00904
0.600,0.250,0.034,0.100,0.000,0.036,-0.085,0.48510,-0.00656
0.600,0.250,0.034,0.100,0.000,0.036,-0.079,0.49061,-0.00408
0.600,0.250,0.034,0.100,0.000,0.036,-0.074,0.49626,-0.00161
0.600,0.250,0.034,0.100,0.000,0.036,-0.069,0.50206,0.00087
0.600,0.250,0.034,0.100,0.000,0.036,-0.064,0.50802,0.00335
0.600,0.250,0.034,0.100,0.000,0.036,-0.059,0.51415,0.00583
0.600,0.250,0.034,0.100,0.000,0.036,-0.054,0.52046,0.00831
0.600,0.250,0.034,0.100,0.000,0.036,-0.049,0.52696,0.01079
0.600,0.250,0.034,0.100,0.000,0.036,-0.044,0.53367,0.01326
0.600,0.250,0.034,0.100,0.000,0.036,-0.038,0.54060,0.01574
0.600,0.250,0.034,0.100,0.000,0.036,-0.033,0.54778,0.01822
0.600,0.250,0.034,0.100,0.000,0.036,-0.028,0.55524,0.02070
0.600,0.250,0.034,0.100,0.000,0.036,-0.023,0.56298,0.02318
0.600,0.250,0.034,0.100,0.000,0.036,-0.018,0.57107,0.02565
0.600,0.250,0.034,0.100,0.000,0.036,-0.013,0.57953,0.02813
0.600,0.250,0.034,0.100,0.000,0.036,-0.008,0.58842,0.03061
0.600,0.250,0.034,0.100,0.000,0.036,-0.003,0.59783,0.03309
0.600,0.250,0.034,0.100,0.000,0.036,0.003,0.60784,0.03557
0.600,0.250,0.034,0.100,0.000,0.036,0.008,0.61861,0.03805
0.600,0.250,0.034,0.100,0.000,0.036,0.013,0.63037,0.04052
0.600,0.250,0.034,0.100,0.000,0.036,0.018,0.64347,0.04300
0.600,0.250,0.034,0.100,0.000,0.036,0.023,0.65863,0.04548
0.600,0.250,0.034,0.100,0.000,0.036,0.028,0.67766,0.04796
0.600,0.250,0.034,0.100,0.000,0.036,0.033,0.70985,0.05044
0.600,0.250,0.034,0.100,0.000,0.036,0.038,0.99992,0.05291
0.600,0.250,0.034,0.100,0.000,0.036,0.044,1.00000,0.05539
0.600,0.250,0.034,0.100,0.000,0.036,0.049,1.00000,0.05787
0.600,0.250,0.034,0.100,0.000,0.036,0.054,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.036,0.059,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.036,0.064,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.036,0.069,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.036,0.074,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.036,0.079,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.036,0.085,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.036,0.090,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.036,0.095,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.036,0.100,1.00000,0.08265
0.600,0.250,0.034,0.100,0.000,0.041,-0.100,0.46511,-0.01648
0.600,0.250,0.034,0.100,0.000,0.041,-0.095,0.47003,-0.01400
0.600,0.250,0.034,0.100,0.000,0.041,-0.090,0.47506,-0.01152
0.600,0.250,0.034,0.100,0.000,0.041,-0.085,0.48020,-0.00904
0.600,0.250,0.034,0.100,0.000,0.041,-0.079,0.48546,-0.00656
0.600,0.250,0.034,0.100,0.000,0.041,-0.074,0.49084,-0.00408
0.600,0.250,0.034,0.100,0.000,0.041,-0.069,0.49635,-0.00161
0.600,0.250,0.034,0.100,0.000,0.041,-0.064,0.50200,0.00087
0.600,0.250,0.034,0.100,0.000,0.041,-0.059,0.50780,0.00335
0.600,0.250,0.034,0.100,0.000,0.041,-0.054,0.51374,0.00583
0.600,0.250,0.034,0.100,0.000,0.041,-0.049,0.51985,0.00831
0.600,0.250,0.034,0.100,0.000,0.041,-0.044,0.52613,0.01079
0.600,0.250,0.034,0.100,0.000,0.041,-0.038,0.53259,0.01326
0.600,0.250,0.034,0.100,0.000,0.041,-0.033,0.53924,0.01574
0.600,0.250,0.034,0.100,0.000,0.041,-0.028,0.54610,0.01822
0.600,0.250,0.034,0.100,0.000,0.041,-0.023,0.55319,0.02070
0.600,0.250,0.034,0.100,0.000,0.041,-0.018,0.56053,0.02318
0.600,0.250,0.034,0.100,0.000,0.041,-0.013,0.56814,0.02565
0.600,0.250,0.034,0.100,0.000,0.041,-0.008,0.57605,0.02813
0.600,0.250,0.034,0.100,0.000,0.041,-0.003,0.58429,0.03061
0.600,0.250,0.034,0.100,0.000,0.041,0.003,0.59292,0.03309
0.600,0.250,0.034,0.100,0.000,0.041,0.008,0.60199,0.03557
0.600,0.250,0.034,0.100,0.000,0.041,0.013,0.61158,0.03805
0.600,0.250,0.034,0.100,0.000,0.041,0.018,0.62178,0.04052
0.600,0.250,0.034,0.100,0.000,0.041,0.023,0.63277,0.04300
0.600,0.250,0.034,0.100,0.000,0.041,0.028,0.64476,0.04548
0.600,0.250,0.034,0.100,0.000,0.041,0.033,0.65817,0.04796
0.600,0.250,0.034,0.100,0.000,0.041,0.038,0.67379,0.05044
0.600,0.250,0.034,0.100,0.000,0.041,0.044,0.69373,0.05291
0.600,0.250,0.034,0.100,0.000,0.041,0.049,0.73128,0.05539
0.600,0.250,0.034,0.100,0.000,0.041,0.054,0.99991,0.05787
0.600,0.250,0.034,0.100,0.000,0.041,0.059,1.00000,0.06035
0.600,0.250,0.034,0.100,0.000,0.041,0.064,1.00000,0.06283
0.600,0.250,0.034,0.100,0.000,0.041,0.069,1.00000,0.06531
0.600,0.250,0.034,0.100,0.000,0.041,0.074,1.00000,0.06778
0.600,0.250,0.034,0.100,0.000,0.041,0.079,1.00000,0.07026
0.600,0.250,0.034,0.100,0.000,0.041,0.085,1.00000,0.07274
0.600,0.250,0.034,0.100,0.000,0.041,0.090,1.00000,0.07522
0.600,0.250,0.034,0.100,0.000,0.041,0.095,1.00000,0.07770
0.600,0.250,0.034,0.100,0.000,0.041,0.100,1.00000,0.08017
0.600,0.250,0.034,0.100,0.000,0.046,-0.100,0.46110,-0.01895
0.600,0.250,0.034,0.100,0.000,0.046,-0.095,0.46583,-0.01648
